Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
"An app builder wants to limit the amount of fields users see when creating a new Opportunity. Once they fill out the required fields and save, the full record page with additional fields relevant to the Opportunity type becomes available.How could this be accomplished? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,"Once the required fields are populated, use a sharing rule to share the new fields with the user.",0,Use different page layouts for Opportunity types based on the user profile.,0,Hide additional sections on the page layout and show the users how to manually expand them when they want to fill in the fields in the hidden sections.,0,Make the Opportunity type a required field on the initial Opportunity page layout and use automation to fill in the type field to update the record type based on the Opportunity type.,1,,0,,0
When a sales rep submits an account for approval. Universal Containers wants the user to answer additional questions via a popup window to populate additional record fields.What should an app builder use to achieve the desired result? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Lightning component and Process Builder,0,Process Builder and Flow,0,Custom button and Flow,1,Custom picklist field and Process Builder,0,,0,,0
An app builder needs a custom solution and is considering using either AppExchange or their local developer community. The app builder wants to minimize the need for manual maintenance.What should the app builder consider?,Multiple Choice,No,Yes,No,Yes,2,1,1,An unmanaged package from AppExchange,0,An open-source custom development,0,A managed package from AppExchange,1,An open-source unmanaged package,0,,0,,0
"Universal Containers uses the Asset object to track products that are installed at customer locations. A new object, Asset Inventory, has been created to capture details about the asset.Which approach should the app builder take to show Asset Inventory as a related list on Asset? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Create a roll-up on Asset. Add the Asset Inventory related list to the Asset page layout.,0,Create a master-detail relationship on Asset to Asset Inventory. Add the Asset Inventory related list to the Asset page layout.,0,Create a junction object to relate Asset Inventory and Asset. Add the Asset Inventory related list to the Asset page layout.,0,Create a lookup relationship on Asset Inventory to Asset. Add the Asset Inventory related list to the Asset page layout.,1,,0,,0
Universal Containers uses a custom picklist called Account_Region__с on the Account object. The vice president of sales has asked that the value of this field is visible on Opportunities.How should an app builder create this solution? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Field history tracking,0,Field-level security,0,Lookup field,0,Cross-object formula field,1,,0,,0
DreamHouse Realty (DR) has a policy that requires the phone number on Contact to be deleted when the DoNotCall checkbox is checked.What automation tool should the app builder recommend? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Approval process,0,Validation rule,0,Workflow rule,1,Quick action,0,,0,,0
"Cloud Kicks asked the app builder to insert a list of 25,000 records using deduplication for the Race_Track__c custom object.Which tool should be used?",Multiple Choice,No,Yes,No,Yes,2,1,1,Import Wizard,1,Lightning Object Creator,0,Data Loader,0,Schema Builder,0,,0,,0
"Universal Containers (UC) tracks Account locations in Zip Code, a custom text field with a validation rule to enforce proper formatting of the US ZIP+4 code for UC’s orders.What formula should the app builder create on Order to display only the first five digits of Zip Code from the parent Account?",Multiple Choice,No,Yes,No,Yes,2,1,1,"TEXT(Account.Zip_Code__c, 5)",0,"LEFT(Account.Zip_Code__c, 5)",1,"LPAD(Account.Zip_Code__r, 5)",0,"BEGINS(Account.Zip_Code__r, 5)",0,,0,,0
Universal Containers wants to create a report to show job applications with or without resumes.What considerations should the app builder be aware of when creating the custom report type?,Multiple Choice,No,Yes,No,Yes,2,1,1,When a custom or external object is deleted the report type and reports remain but cause an error when the report is run.,0,Once the report type has been deployed it is unable to be deleted.,0,A primary object selection is locked once the custom report type has been saved.,1,An app builder is unable to create custom report types for objects they do not have permissions for.,0,,0,,0
Cloud Kicks is redefining its entire business process to convert the Manager Notes field from a long text area field. The goal is to encourage managers to be more concise in their comments and stay at 255 characters or less. There is preexisting information in the Manager Notes field that often is well beyond the character limit.What would happen to any existing information if the app builder tries to convert a preexisting long text area field to text area?,Multiple Choice,No,Yes,No,Yes,2,1,1,Preexisting information in the field will be completely lost.,0,Preexisting information will remain even if it was over 255 characters.,0,Preexisting information will truncate to the first 255 characters.,1,Preexisting information will cause an error message to pop up.,0,,0,,0
