Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
A lightning Page is __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,"A compact, configurable, and reusable element.",0,A custom layout for creating pages in Salesforce.,1,The new name for a SF page layout.,0,A page you can access via a customer community.,0,,0,,0
What can you build with the Lightning app builder?,Multiple Choice,No,Yes,No,Yes,2,1,1,"At-a-glance, dashboard-style apps.",0,Apps optimized for a particular task.,0,"Simple, single-page apps with drill-down capability.",0,All of the above.,1,,0,,0
Actions on a Lightning Page allow you to __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,"Send e-mail, create a task, and create or update records.",1,Send e-mail and delete or clone records.,0,"Clone records, add users, and assign permissions.",0,"Send e-mail, send outbound messages, and launch a flow.",0,,0,,0
Use the data import wizard when __________. (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,"You need to load less than 50,000 records.",1,The objects you need to import are supported by the wizard.,1,"You want to schedule regular data loads, such as nightly imports.",0,You don't need the import process to be automate.,1,,0,,0
Use Data Loader when __________. (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,"You need to load 50,000 to five million records. If you need to load more than 5 million records, we recommend you work with a Salesforce partner or visit the AppExchange for a suitable partner product.",1,You don't need the import process to be automated.,0,You need to load into an object that is not supported by the Data Import Wizard.,1,"You want to schedule regular data loads, such as nightly imports.",1,,0,,0
What objects are supported by the Import Wizard?,Multiple Choice,No,Yes,No,Yes,2,1,1,Contacts,0,Leads,0,Accounts,0,Custom objects,0,Solutions,0,All of the above,1
You can export data from Salesforce using any of the following methods except __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,Use the data Manager tool to manually request an export of all the data in your organization.,1,Use the data Export wizard within SF to export data manually or automatically.,0,Use the data loader client application.,0,Log a case with SF.,0,,0,,0
"When using the Data Export Wizard to manually export data, you can only export data if __________.",Multiple Choice,No,Yes,No,Yes,2,1,1,"Your data doesn't include attachments, images, or documents.",0,You've installed a client application to export the data.,0,Enough time has passed since your last export.,1,You are an Admin.,0,,0,,0
"When scheduling automatic data exporting with the Data Export Wizard, you must specify all of the following except __________.",Multiple Choice,No,Yes,No,Yes,2,1,1,Start and end dates,0,Time of day,0,Number of attachments,1,"Frequency, if your organization supports monthly exports",0,,0,,0
"If any of the triggered workflow rules result in another field update that's also enabled for workflow rule re-evaluation, a domino effect occurs, and more workflow rules can be re-evaluated as a result of the newly-triggered field update.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
Recursive triggers may cause your organization to exceed its limit for workflow time triggers per hour.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
When do you need to refresh a sandbox? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,3 Hours before you need it.,0,When modification have been made to the production organization.,1,Anytime.,0,When you are done making changes to it.,1,,0,,0
Which of the following can you create safely in a production organization?,Multiple Choice,No,Yes,No,Yes,2,1,1,Apex Classes,0,Triggers,0,Custom Apex Controllers for Visualforce Pages,0,Reports and dashboards,1,,0,,0
Which of the following are good ways to track changes in production? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Diff the metadata.,0,Use a change log request form.,0,Check the setup audit trail every week.,1,All of the above.,0,,0,,0
"Ideally, who should be in charge of logging all changes in production?",Multiple Choice,No,Yes,No,Yes,2,1,1,Product Manager,0,Administrator,1,QA Engineer,0,Developer,0,,0,,0
"You've developed some new functionality in production, but there are concurrent development projects in a developer sandbox.What's the best way to make sure the changes in production and projects in development are both merged?",Multiple Choice,No,Yes,No,Yes,2,1,1,Simply refresh the developer sandbox.,0,"Copy all of the sandbox metadata to a file system, then refresh the developer sandbox, and finally deploy all the metadata to the developer sandbox.",0,"Create a new sandbox, and then deploy from your developer sandbox to the new sandbox.",1,None of the above.,0,,0,,0
When is it advisable to use a full-copy sandbox? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,For training users on new features.,1,Staging before final deployment.,0,Performance and load testing.,0,All of the above.,0,,0,,0
You have a team of developers who need logins to sandbox.What's the best way to give them access?,Multiple Choice,No,Yes,No,Yes,2,1,1,Create them as inactive users in production.,1,Have them login as one of the users in production.,0,"Create them as users in sandbox, then deactivate the same number of users in production.",0,Use Developer Edition to log into sandbox.,0,,0,,0
Standard picklist fields can be controlling. (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
Universal container has included its orders as an external data object into Salesforce. You want to create a relationship between Accounts and the Orders object(one-to-many relationship) leveraging a key field for account which is on both external object and Account.Which relationship do you create?,Multiple Choice,No,Yes,No,Yes,2,1,1,Lookup Relationship,0,Hierarchical Relationship,0,Master Detail Relationship,0,Indirect Lookup Relationship,1,External Lookup Relationship,0,,0
What can you build with the Lightning Components framework?,Multiple Choice,No,Yes,No,Yes,2,1,1,A standalone app.,0,Components for the Salesforce app.,0,Custom components that override and extend the Salesforce1 app.,0,All of the above.,1,,0,,0
How is the Lightning Component framework different from Visualforce?,Multiple Choice,No,Yes,No,Yes,2,1,1,The framework can be used to build mobile apps only.,0,"The framework is client-side centric, while Visualforce relies on server calls.",1,"They are both useful in building components, but Visualforce has a simpler markup.",0,None of the above.,0,,0,,0
Which of the following descriptions about the Lightning Components framework is true?,Multiple Choice,No,Yes,No,Yes,2,1,1,It uses JavaScript on the client side and Apex on the server side.,0,It uses events to communicate data between components.,0,It uses a stateful client and stateless server architecture.,0,All of the above.,1,,0,,0
What is true regarding person accounts in Salesforce? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,"Person accounts do not have a ""Parent Account"" field.",1,Person accounts do not have the Account Hierarchy feature.,1,Person Accounts can be enabled in setup.,0,Person accounts can have contacts.,0,Leads cannot be converted to Person Accounts.,0,,0
A custom app can include one or more custom tabs.What kind of custom tabs can be included in an application?,Multiple Choice,No,Yes,No,Yes,2,1,1,Lightning Page Tab,0,Visualforce Tab,0,Custom Object Tab,0,All of the Above,1,,0,,0
"Universal Containers are doing a deep analysis on their monthly sales data, and would like the sales revenue split as products sold per country.What would be the ideal report to address this need?",Multiple Choice,No,Yes,No,Yes,2,1,1,Tabular,0,Summar,0,Matric,1,Joined,0,,0,,0
"You are building a project mgmt app. According to the design given to you, a project must store info regarding the various functional modules under it. Each functional module must store info regarding responsibility assigned to each developer. Info about the responsibility must have info about the due date and status.What could be the most optimal model to achieve this?",Multiple Choice,No,Yes,No,Yes,2,1,1,Create a Project object then Modules as a child object. Add Tasks to Modules.,1,Create a Project then add Tasks to it. Define Modules as a field on Task.,0,"Create Project, Module, Responsibility as parent, child and grandchild objects.",0,Create Project and Module objects then Responsibility as a junction object.,0,,0,,0
What is not a capability of the lead object? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,"Standard or Custom fields can be mapped to fields in the Account, Contact and Opportunity objects as part of lead conversion.",0,Leads can be grouped into queues.,1,Leads can be automatically assigned to users or queues.,0,"Custom objects that have been related to a lead can be copied when a lead is converted to the account, contact or opportunity.",1,,0,,0
Universal Containers is using SF to manage travel requests. They would like to enable managers to approve travel requests via e-mail.What is true regarding e-mail approval responses?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Approvers must the ""API Enabled"" system permission.",1,Approval Comments cannot be added in the e-mail response.,0,Approvers must click a link in the approval e-mail.,0,"If the request is rejected, the approver must add the rejection comments directly in SF.",0,,0,,0
"You need to ensure that the value in a custom field ""Source Country"" is validated against the standard list of ISO countries that are valid for the particular type of order, when the order is saved.What is the best way to achieve this requirement? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Create a validation rule using a CASE statement.,0,Create a validation rule using the VLOOKUP function.,1,Create a before trigger and validate the value using APEX code.,0,Create an after trigger and validate the value using APEX code.,0,,0,,0
"When activating a page in the Lightning app builder, what declarative options are available? (Choose three.)",Multiple Choice,No,Yes,No,Yes,2,3,3,Select a tab icon for the page.,1,Select the tab color.,0,Set the tab visibility.,1,Set the tab order in the navigation menu.,1,,0,,0
SF can connect social profiles to all of the following objects except __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,Leads,0,Person Accounts,0,Business Accounts,0,Contacts,0,Users,1,,0
You need to provide a way to invoke a custom report from the account detail page. The report should render values that are specific to the account in context.What are the best options? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Detail Page Button,1,List Button,0,Detail Page Links,1,Visualforce,0,,0,,0
What external relationship requires a Salesforce ID in the external data?,Multiple Choice,No,Yes,No,Yes,2,1,1,External Lookup,0,Indirect Lookup,0,Lookup,1,Master Detail,0,,0,,0
"For an external object relationship, you can create an external lookup relationship.What type of object(s) can be the parent?",Multiple Choice,No,Yes,No,Yes,2,1,1,External,1,Standard or Custom,0,Standard or External,0,Custom,0,,0,,0
Which of the following sequences of milestones would represent a typical application lifecycle?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Development, Integration Testing, User Acceptance Testing, Staging, Product Migration.",1,"Development, User Acceptance Testing, Production Migration.",0,"Development, Training, User Acceptance Testing, Staging, Production Migration.",0,"Development, Integration Testing, User Acceptance Testing, Regression Testing, Production Migration.",0,,0,,0
Which Social Account features can be accessed from SF1?,Multiple Choice,No,Yes,No,Yes,2,1,1,LinkedIn,0,YouTube,0,Facebook,0,Twitter,1,All of the above,0,,0
"You have a requirement to ensure that if the discount field on an opp is greater than 30%, the record should be automatically submitted for Approval.Which of the following would help you meet this requirement? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,Approval Process,1,Workflow,0,Process Builder,1,Visual Workflow,0,,0,,0
