Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
"Northern Trail Outfitters wants to broadcast an email to 7,000 contacts in Salesforce on a regular basis but realizes Salesforce's mass email functionality has a limitation on the number of emails that can be sent each day.What action should the app builder take?",Multiple Choice,No,Yes,No,Yes,2,1,1,Export Contacts to a CSV file and use an email client to send the emails.,0,Research and evaluate products available on AppExchange to send mass emails.,1,Request Salesforce Increase the number of maximum daily emails.,0,Develop Apex code and Lightning web component to send daily emails.,0,,0,,0
"An app builder wants to show Groups as the last navigation menu item in the mobile app. However, the app builder is unable to select Groups as one of the items on the drop-down menu.What could cause this? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Groups is included in the Smart Search items but unavailable on the navigation menu.,1,Groups is available in the Chatter section of the navigation menu.,0,Groups is unavailable in the selected list for the navigation menu.,0,Groups is available in the recent section of the navigation menu.,0,,0,,0
"Universal Containers uses a custom object called Projects. When managers assign projects they set a custom field on the Project record called Estimated Hours. Once set, users should be able to decrease but not increase the value.How can an app builder meet this requirement?",Multiple Choice,No,Yes,No,Yes,2,1,1,Create a validation rule that uses the PRIORVALUE function.,1,Create a formula field that uses the PREVGROUPVAL function.,0,Create a validation rule that uses the ISCHANGED function.,0,Create a formula default value for the custom field.,0,,0,,0
"Northern Trail Outfitters (NTO) has created the custom objects Trail and Park in Salesforce to track parks and trails respectively, NTO wants to track the total number of trails a park has on the park record without writing any code.Which two actions should an app builder take to accomplish this requirement? (Choose two.)",Multiple Choice,No,Yes,No,Yes,2,2,2,Use a master-detail relationship between the Park and Trail objects.,1,Use a formula field on the Park record to show the total number of trails.,0,Use a lookup relationship between the Park and Trail objects.,0,Use a roll-up summary field on the Park record to show the total number of Trails.,1,,0,,0
Cloud Kicks wants to start tracking how many shoe subscriptions have been sold for each shoe catalog. A master-detail relationship exists between the Subscription＿c and the Shoe＿c objects.Which type of field should an app builder create?,Multiple Choice,No,Yes,No,Yes,2,1,1,Roll-up summary field,1,Lookup field,0,Master-detail relationship field,0,Number field,0,,0,,0
Universal Containers (UC) has implemented multi-currency. There are several products that UC sells exclusively in Europe and the UK. Opportunities for these products need to be written in euros (EUR) or British pounds (GBP).Which solution should an app builder recommend?,Multiple Choice,No,Yes,No,Yes,2,1,1,Create a new validation rule that allows only EUR or GBP to be selected from all active currencies when an opportunity is created for these products.,0,Create a new sales process that includes only the EUR and GBP currencies for these products.,0,Create a new page layout for these products that shows only the EUR and GBP currencies in the Opportunity Currency Picklist.,0,Create a new record type for these products and include only the EUR and GBP currencies from the Opportunity Currency Picklist.,1,,0,,0
A Cloud Kicks employee submitted an opportunity for approval by their manager.What would happen if the employee attempts to edit the description field after submission?,Multiple Choice,No,Yes,No,Yes,2,1,1,User will see the record is now owned by their manager.,0,User will be able to edit the description field only.,0,User will be presented with a 'Record Lock' notification.,1,"User will be able to edit the name, but unable to edit the description.",0,,0,,0
DreamHouse Realty wants to track how many lifts are being installed into customer garages. The To Be Installed custom checkbox field on the custom Lift object should be checked and an external system should be notified via an outbound message the next day when a lift is sold.What automation tool should be used to complete this task?,Multiple Choice,No,Yes,No,Yes,2,1,1,Flow,1,Process Builder,0,Validation Rule,0,Approval process,0,,0,,0
DreamHouse Realty wants to make sure an Opportunity has a field Expected_Close_Date＿c populated before it is allowed to enter the qualified stage.How should an app builder solution this request?,Multiple Choice,No,Yes,No,Yes,2,1,1,Record Type,0,Activity History,0,Validation Rule,1,Page Layout,0,,0,,0
"Universal Containers has a new custom object for Invoices that includes an Invoice Number field. Before the Invoice object can be used, invoices will be migrated from an external system maintaining their current Invoice Number. After the migration, each new Invoice created in Salesforce must have a unique Invoice Number.How should the app builder configure the Invoice Number field?",Multiple Choice,No,Yes,No,Yes,2,1,1,"Create a Text field, then change it to AutoNumber after the migration.",1,Create an AutoNumber field and migrate the Invoices in Invoice Number order.,0,Create a Text field and mark it as a unique external ID field.,0,Create a Text field for the original Invoice Number and an AutoNumber field for the Salesforce Invoice Number.,0,,0,,0
