Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
"If a child record in a master-detail relationship is deleted, the parent is deleted.",Multiple Choice,No,Yes,No,Yes,2,1,1,False,1,True,0,,0,,0,,0,,0
"A field designated as required, is only required when it is added to a user's page layout.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,0,False,1,,0,,0,,0,,0
"A user's profile does not have any permissions to view a custom object. However, the Organization Wide Defaults for the custom object are set to Public Read/Write. Users with this profile will still be able to access the custom object.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,0,False,1,,0,,0,,0,,0
"If a field update for Rule1 triggers Rule2, and a field update for Rule2 triggers Rule1 ___________.",Multiple Choice,No,Yes,No,Yes,2,1,1,Loop is allowed to run 25 times within one hour. If it does not end on its own the process will be stopped by R&D.,0,The updates create a loop and the org limits for workflow time triggers per hour will likely be violated.,1,When the second trigger is saved an Imminent Loop Error message will be displayed and the workflow rule update will not save.,0,The updates create a loop and the org be blocked until the admin resolves the issue.,0,,0,,0
A user asks for a checkbox to be automatically ticked if the annual revenue field is greater than a million.Which formula to trigger a workflow would satisfy this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,AnnualRevenue > 1000000,1,"AnnualRevenue > 1000000 , TRUE, FALSE",0,"IF(AnnualRevenue > 1000000 ,""TRUE"",""FALSE"")",0,AnnualRevenue,0,,0,,0
Customer services wish to analyze how many open cases there are each day over a period of time.How can they achieve this? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Summary Reports,1,Matrix Reports,0,Tabular Reports,0,Analytic Snapshot,0,,0,,0
"Custom objects on the ""detail"" side of a master-detail relationship cannot have sharing rules. (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,False,0,True,1,,0,,0,,0,,0
Standard picklist fields can be controlling or dependent. (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,False,0,True,1,,0,,0,,0,,0
Select the data types that are supported by formula fields. (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Percent,1,Currency,1,Email,0,Phone,0,Text,1,,0
How do you highlight totals in a report?,Multiple Choice,No,Yes,No,Yes,2,1,1,Summary totals,1,Custom Summary Field,0,Formula Field,0,Roll-up Summary Field,0,,0,,0
Your manager has asked you to create an object with radio buttons that track a rating of 1-5.How will you achieve this?,Multiple Choice,No,Yes,No,Yes,2,1,1,Create a dependent picklist that feeds the radio button type field.,0,Create a Visualforce page with radio buttons.,1,Create a radio button with 5 option.,0,Create a formula field.,0,,0,,0
What can a cross-object formula reference?,Multiple Choice,No,Yes,No,Yes,2,1,1,Parent Only,1,Both Parent and Child objects,0,Child Only,0,Records of the same Object,0,,0,,0
"ABC Company has a workflow on opportunity that will change the status field to ""In Progress"" when the Stage field is changed ""Negotiation."" In addition, there is a validation rule on Status that will prevent the status being set to ""In Progress"" if the amount of the opportunity is less than $10,000. A user named Frank does not have FLS to see status.When Frank changes opportunities to a stage of ""Negotiation"" the status is still being changed to ""In Progress"", why is this occurring?",Multiple Choice,No,Yes,No,Yes,2,1,1,"Updates to records based on workflow rules don't trigger validation rules, workflow rules can invalidate previously valid field.",1,Workflow rules occur after validation rules and thus override validation rules.,0,Field Level Security prevents the validation rule from running.,0,,0,,0,,0
In order to create an App Launcher component in Lightning an admin must ___________.,Multiple Choice,No,Yes,No,Yes,2,1,1,Join the pilot Lightning App Builder team.,0,Purchase a license for the Lightning App Builder.,0,Contact Salesforce to have the component activated for the Lightning App Builder.,1,Navigate to Setup-Customize-User Interface to enable the component for the Lightning App Builder.,0,,0,,0
ABC Company want to store an area code and wants to be able to search for it in searches.Which are possible fields to store the data? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,Multi Picklist,0,Phone,1,Text,1,Email,0,,0,,0
Object A has a lookup to object B.Which of the following statements are true? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Fields of object B can be accessed from object A.,1,Fields of both B and A are accessible from object A.,1,Fields of object A can be accessed from object.,0,Fields of both A and B are accessible from object.,0,,0,,0
"ABC Company has a custom object ""Service"" which has a lookup relationship to Account. ABC Company wants to enhance Salesforce1 with an action that allows account managers to enter a new service to an Account while looking at the account.What should be done?",Multiple Choice,No,Yes,No,Yes,2,1,1,Enter an object specific action to Service and put it in the Account Layout.,0,Enter an object specific action to Service and put it in the Service Layout.,0,Enter an object specific action to Account and put it in the Service Layout.,0,Enter an object specific action to Account and put it in the Account Layout.,1,,0,,0
How can an App Builder share Favorites with other Salesforce users? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Share link in the Favorites drop-down menu.,0,Sharing can only be performed by users with System Administrator rights.,0,Favorites Settings under My Personal Information.,0,Favorites can't be shared with other users.,1,,0,,0
A developer wants to make sure that all fields on his new custom object are editable to all profiles.What should be checked on field level security?,Multiple Choice,No,Yes,No,Yes,2,1,1,Enable Visible and Read-Only.,0,Enable Visible but Disable Read-Only.,1,Disable Visible but Enable Read-Only.,0,Disable Visible and Read-Only.,0,,0,,0
"What are the three groups of Lighting Components you can add, when working with the Lightning App Builder? (Choose three.)",Multiple Choice,No,Yes,No,Yes,2,3,3,Custom-Managed,1,Standard,1,Custom,1,Standard-Managed,0,,0,,0
How can you make a field mandatory? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Create a Workflow Rule.,0,Check the required field box on the page layout.,1,Check the required field box on the field definition.,1,Creating a validation rule for the field.,1,Check the required field box for the field on the record type.,0,,0
ABC Company installs an unmanaged package.Which of the following are true? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Unmanaged packages have a namespace prefix.,0,Components of unmanaged packages can be edited.,1,Unmanaged packages don't have a version number.,0,Unmanaged packages can be upgraded.,0,Tests are executed during deployment.,1,,0
ABC Company is using assignment rules to distribute cases to regional teams.Which of the following is true?,Multiple Choice,No,Yes,No,Yes,2,1,1,Cases may be assigned to public groups (if configured).,0,It is possible to have multiple active assignment rules.,0,Cases may be assigned to queues (if configured).,1,A workflow field update can be used instead.,0,,0,,0
