Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
"You can secure data at the organization level, using all of these methods, except __________.",Multiple Choice,No,Yes,No,Yes,2,1,1,Limit Login IP addresses,0,Limit Login Hours,0,Set password policies,0,Use hardware token,1,,0,,0
Which of these is not a method for controlling record-level access?,Multiple Choice,No,Yes,No,Yes,2,1,1,Organization-Wide Defaults,0,Role Hierarchy,0,Profiles,1,Sharing Rules,0,,0,,0
How can you control object level access? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Profiles,1,Permission Sets,1,Roles,0,Groups,0,OWD,0,,0
Where can a Standard Lightning Component be placed in the Lightning app builder tool?,Multiple Choice,No,Yes,No,Yes,2,1,1,Canvas,1,Console Layout,0,Mini Page Layout,0,Mobile Card,0,,0,,0
Universal Container's app builder needs to display an account's rating on all contacts related to that account.Which formula is valid in a text formula field on the contact to display the appropriate value? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,"CASE(Account.Rating, Hot, Hot, Warm, Warm, Cold, Cold, Not Rated)",0,"CASE(Account.Rating, ""Hot"", ""Hot"", ""Warm"", ""Warm"", ""Cold"", ""Cold"", ""Not Rated"")",1,Account.Rating,0,Text(Account.Rating),1,,0,,0
"Universal Containers has limited in-house development resources, but would like to support online payment processing for its products.What is the recommended solution to meet this requirement?",Multiple Choice,No,Yes,No,Yes,2,1,1,"Configure price books, products, and payment schedules to enable this capability.",0,Work with developers to develop custom code for payment processing.,0,Configure Outbound Messaging to send a message to an external Payment Gateway.,0,Install an AppExchange product to provide Payment Gateway processing.,1,,0,,0
"Universal Containers needs to create a roll-up summary field on a custom object that counts the number of related records on another custom object.What type of field must exist before the roll-up summary can be created, and where should it be located?",Multiple Choice,No,Yes,No,Yes,2,1,1,A lookup relationship field on the parent object.,0,A lookup relationship field on the child object.,0,A master-detail relationship field on the parent object.,0,A master-detail relationship field on the child object.,1,,0,,0
"Universal Containers needs to set the record type for a converted lead's Account, Contact, and Opportunity based on the user who is converting the lead.How can this be accomplished?",Multiple Choice,No,Yes,No,Yes,2,1,1,"Set the default record types for each Profile for Account, Contact, and Opportunity to the desired record type for converted records.",1,"Set the default record types for each Role for Account, Contact, and Opportunity to the desired record type for converted records.",0,"Set the master record types for each Profile for Account, Contact, and Opportunity to the desired record type for converted records.",0,"Set the master record types for each Role for Account, Contact, and Opportunity to the desired record type for converted records.",0,,0,,0
Which of these statements is true for Lightning Connect?,Multiple Choice,No,Yes,No,Yes,2,1,1,No external data is imported into your Salesforce org.,0,External data is read in real time when you request it.,0,It can be used with any data source that supports OData 2.0.,0,All of the above.,1,,0,,0
Which of these is NOT an appropriate use case for Lightning Connect?,Multiple Choice,No,Yes,No,Yes,2,1,1,You want to integrate external data without writing custom code.,0,The external data is changing frequently.,0,You need to setup workflows and triggers for the external data.,1,You only need real-time access to a small fraction of the external data.,0,,0,,0
