Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
Which type of custom fields can be used as External ID? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Email,1,Date,0,A text field that is unique,1,A text field that is encrypted,0,Phone,0,A text field that is required,1
Which of the following represent correct syntax to display first name from global variable user? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,{User.FirstName},0,$User.FirstName,0,{!User.FirstName},0,{!$User.FirstName},1,,0,,0
Which statements are correct about encrypted fields among the following? (Choose four.),Multiple Choice,No,Yes,No,Yes,2,4,4,"Encrypted fields can be included in search results, and report results.",1,"They are not available for use in filters such as list views, reports, roll-up summary fields, and rule filters.",1,Encrypted text fields can be an external ID and can have default values.,0,"Encrypted fields are not available in lead conversion, workflow rule criteria or formulas, formula fields, outbound messages, default values, and Web-to-Lead and Web-to-Case forms.",1,Encrypted fields are not searchable and cannot be used to define report criteria.,1,,0
What is not a possible action of the Lightning Process Builder?,Multiple Choice,No,Yes,No,Yes,2,1,1,Trigger APEX,0,Update a record,0,Trigger a Flow,0,Send an Outbound message,1,,0,,0
What is the maximum number of external IDs an object may have?,Multiple Choice,No,Yes,No,Yes,2,1,1,5,0,1,0,3,0,7,1,,0,,0
"You have created a workflow rule to send an e-mail in your configuration sandbox.For some reason it's not working, what should you double check? (Choose two.)",Multiple Choice,No,Yes,No,Yes,2,2,2,Look at the system audit trail.,0,"HTML does not work in sandbox, make sure your e-mail has no HTML.",0,You have the correct e-mail address.,1,Check the deliverability settings.,1,,0,,0
Which API cannot be used to create the data model? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Force.com Single Sign-on API,1,AJAX toolkit for Force.com,1,Force.com API,1,Force.com Metadata API,0,,0,,0
Which Validation formula is valid to make sure Phone & Email fields are filled in when converting a Lead?,Multiple Choice,No,Yes,No,Yes,2,1,1,IsConverted = TRUE && (ISBLANK(Phone) && ISBLANK(Email),0,"IsConverted = TRUE && OR(ISBLANK(Phone), ISBLANK(Email))",1,IsConverted = FALSE && (ISBLANK(Phone) && ISBLANK(Email),0,"IsConverted = TRUE && OR(Phone, Email)",0,,0,,0
What is the name for an object that enables a many-to-many relationship between two other objects?,Multiple Choice,No,Yes,No,Yes,2,1,1,Child Object,0,Junction Object,1,Schema Object,0,Parent Object,0,Connector Object,0,,0
Which of the following is true about Roll-up Summary Fields?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Roll-up Summary can be used to compute SUM, MIN, MAX, AVG over a set of records.",0,Roll-up Summary Fields are readonly.,1,Roll-up Summary can only be set on the parent of a Master-Detail or Lookup relationship.,0,The results of the Roll-up Summary is displayed on the child in a master-detail relationship.,0,,0,,0
Which statement about record types is true? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,The ability to create records of a specific record type is determined by the profile.,1,Record types can be used to define picklist values available for a given field.,1,Record types can only be assigned to one profile at a time.,0,Users cannot view records assigned to a record type their profile does not have access to.,0,,0,,0
"When a user creates a record by using an object specific create action, what feed item for that record appears? (Choose three.)",Multiple Choice,No,Yes,No,Yes,2,3,3,In the Chatter feed of the first user who follows the record on the record was created.,0,In the Chatter feed of the user who created the record.,1,As the first entry in the feed for the new record.,1,In the feed for the record on which the new record was created.,1,In the user profile feed for all users who can view the record.,0,,0
When would a developer use upsert and external IDs? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,To use Web Services API to query for data.,0,To migrate customizations from a sandbox to production.,0,To load related records without knowing Salesforce record IDs.,1,To integrate with an external system.,1,,0,,0
What is true when a field update is set to re-evaluate the workflow rule? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,"In a batch update, workflow is only re-triggered on the entities where there is a change E.",1,Any workflow rules whose criteria are met as a result of the field update will be ignored.,0,Only workflow rules on the same object as the initial field update will be re-evaluated and triggered.,1,Cascade of workflow rule re-evaluation and triggering can happen up to ten times after the initial field update that started it.,0,Only workflow rules that didn't fire before will be re-triggered.,1,,0
What tools do you need to use to migrate Metadata to Two Different Production Orgs? (Choose three.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,3,3,Unmanaged Package,0,Data Loader,0,Force.com IDE,1,Change Set,1,Force.com Migration Tool,1,,0
What statements are true about managed packages? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Managed packages have open?source code.,0,Managed packages allow for property protection.,1,Managed packages have upgradable components.,1,Managed packages do not allow for licensing.,0,,0,,0
Which functions are available when creating a Roll-up Summary Field? (Choose four.),Multiple Choice,No,Yes,No,Yes,2,4,4,SUM,1,MAX,1,AVG,0,COUNT,1,MIN,1,,0
Which type of component CANNOT be added to a Lightning App Builder page? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Global Actions,1,Dashboards,0,Filter List,0,Visualforce,0,,0,,0
Which of the following are advantages to using Lightning Process Builder over Workflow rules? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,There are more actions available to you.,1,Lightning Process Solutions are bulkified while Workflow rules are not.,0,Solutions run faster.,0,Solutions may have more than one outcome.,1,,0,,0
Your company has a Custom Object called Projects with a Lookup relationship to Opportunities. Once an Opportunity is closed won a project needs to be created automatically and assigned to a queue.How would you best accomplish this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Apex Trigger on Opportunities,0,Visual Flow,0,Lightning Process Builder,1,Apex Trigger on Projects,0,,0,,0
Which of these is true about the Lookup Relationship?,Multiple Choice,No,Yes,No,Yes,2,1,1,Security access of the child record is dependent upon the parent record.,0,Deleting an object deletes its children.,0,Roll-up Summary Field can be used to perform basic operations over all children of a parent record.,0,Parent is not a required field and may be omitted.,1,,0,,0
What type of data cannot be imported using the import wizard?,Multiple Choice,No,Yes,No,Yes,2,1,1,Leads,0,Users,1,Accounts and Contacts,0,Custom Objects,0,,0,,0
Which of these is not a valid report type?,Multiple Choice,No,Yes,No,Yes,2,1,1,Detailed,1,Summary,0,Matrix,0,Tabular,0,,0,,0
"When changing a fields data type, which scenario can you expect data loss? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,Number to Text,0,Text to Picklist,1,Currency to Number,1,Email to Text,0,,0,,0
Which functionality is NOT available on a custom object?,Multiple Choice,No,Yes,No,Yes,2,1,1,Validation Rules,0,Assignment Rules,1,Workflows,0,Record Types,0,,0,,0
Which Action Type is not available when working with Global Actions? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Create a Record,0,Update a Record,0,Log a Call,0,Custom Visualforce,1,,0,,0
What is true about a junction object?,Multiple Choice,No,Yes,No,Yes,2,1,1,A standard object that has two Master-Detail relationships.,0,A standard object that has one Master-Detail relationship.,0,A custom object that has two Master-Detail relationships.,1,A custom object that has one Master-Detail relationship.,0,,0,,0
Which of the following cannot be done via a Workflow?,Multiple Choice,No,Yes,No,Yes,2,1,1,Create an Outbound Message,0,Create an Event,1,Create an E-mail Alert,0,Create a Task,0,,0,,0
Which of the following is not a valid return type of a custom formula?,Multiple Choice,No,Yes,No,Yes,2,1,1,Text,0,Array,1,Date,0,Decimal,0,,0,,0
What type of field cannot be used in a formula field?,Multiple Choice,No,Yes,No,Yes,2,1,1,Date/Time,0,Other Formula Fields,0,Text Area (Long),1,Standard Fields,0,,0,,0
"When Record Types control picklist values, you need to ___________. (Choose two.)",Multiple Choice,No,Yes,No,Yes,2,2,2,"If removed from picklist, value won't be available on any record types but the value on existing record will not change.",1,"You need to manually add values to Opportunity Source, Lead Source and Case source.",0,Manually add values to the Record Types.,1,Other option.,0,,0,,0
Which statements are true regarding Roll-Up Summary Fields? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,"Automatically derived fields, such as current date or current user, are allowed in a Roll-up Summary Field.",0,"Because Roll-up Summary Fields are not displayed on edit pages, you can use them in validation rules.",1,"Once created, you cannot change the detail object selected or delete any field referenced in your Roll-up Summary definition.",1,Validation errors can display when saving either the detail or master record.,1,Advanced currency management has no affect on Roll-up Summary Fields.,0,,0
What is true about a custom tab?,Multiple Choice,No,Yes,No,Yes,2,1,1,It can only be included in standard applications.,0,It can be included in as many applications as desired.,1,It can only be included in one application.,0,It can only be included in custom applications.,0,,0,,0
Global actions can be created to let users create which of the following kinds of records? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Question,1,Event (without invitees),1,Products,0,Opportunity,1,Chatter Post,0,Users,0
Which Salesforce Formula Function can return a value based on more than two different field parameters?,Multiple Choice,No,Yes,No,Yes,2,1,1,Contains,0,Case Statement,1,Beings,0,IF Statement,0,,0,,0
What is true about Social Networks in Salesforce?,Multiple Choice,No,Yes,No,Yes,2,1,1,You must login with your own personal social network account to work with social accounts.,1,You must login with your company's social network account to work with social accounts.,0,"You must be careful about who you give access to social accounts, as they do not follow a security model.",0,Social accounts allow you to manage your company's social media from within Salesforce.,0,,0,,0
Which is true about social accounts?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Connection to social account is established through a company wide ""named principal"".",0,You can use social accounts to import data into Salesforce.,0,You need a personal social account in order to see social account data.,1,You can use social accounts data even when you are not logged into the social account.,0,,0,,0
Which is true about encrypted fields?,Multiple Choice,No,Yes,No,Yes,2,1,1,A custom field can be converted to an encrypted field.,0,"They are available in Validation Rules or Apex Scripts even if the user is not having the permission ""View Encrypted Data"".",1,Encrypted fields can be converted to other field types.,0,"In Email Templates, if an encrypted field needs to be displayed without the mask character, the User who receives the email should have the View Encrypted Data permission.",0,,0,,0
Which developer tool can be used to create a data model? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Application data model wizard,0,Force.com IDE,1,Force.com data loader,0,Schema builder,1,,0,,0
What layer of model-view-controller paradigm are standard or custom objects associated with?,Multiple Choice,No,Yes,No,Yes,2,1,1,View and Controller,0,Model,1,Controller,0,View,0,,0,,0
What would the proper field type be to allow users to enter multiple paragraphs? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,Text Area (Long),1,Text (Encrypted),0,Text Area (Rich),1,Text Area (Super Long),0,Text,0,,0
Which components can be added to a lightning app on custom Object? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Object specific actions on the custom object,0,Global actions,1,Custom lightning component,1,Standard Lightning component,1,Visualforce,0,,0
What Lightning Experience feature allows Salesforce users to modify existing records without opening them?,Multiple Choice,No,Yes,No,Yes,2,1,1,Inline editing in List Views,1,Global Actions,0,Editable Reports,0,The edit option in the Favorites menu,0,,0,,0
Which of the following fields are not available for record types?,Multiple Choice,No,Yes,No,Yes,2,1,1,Opportunity stages,0,Solution Status,0,Lead Status,0,All of the above,1,Case Status,0,,0
Which feature sets the base level of access to an object? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Roles,0,Public Groups,0,Organizational Wide Defaults,0,Profiles,1,,0,,0
What is true about Master-Detail relationships? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,You can have a child record without the parent record.,0,You have to expose the master-detail field on the child object page layout.,1,"When the parent record is deleted, all child records will be deleted.",1,You cannot delete a child object.,0,,0,,0
Which deployment tool will you use to deploy metadata from one organization to another organization? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Force.com Migration Tool,1,Unmanaged Packages,0,Force.com IDE,0,Change sets,0,,0,,0
You have Custom Object A & Custom Object B; a record has to be created on B once certain criteria is met A.How can this be achieved?,Multiple Choice,No,Yes,No,Yes,2,1,1,APEX Trigger on Object B,0,Lightning Process on Object B,0,Workflow Rule,0,Lightning Process on Object A,1,,0,,0
When should a system administrator consider using the Salesforce AppExchange? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,When standard Salesforce functionality needs to be extended.,1,To find answers to Salesforce application questions.,0,When looking for pre-built custom applications and tools.,1,To submit ideas for Salesforce application enhancements.,0,,0,,0
What type of field needs to be wrapped in a function (in a formula) to be accessed?,Multiple Choice,No,Yes,No,Yes,2,1,1,Long Text Field,0,Date/Time,0,Picklist,1,Currency,0,,0,,0
What is true about Case Assignment rules? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,They allow cases to be assigned to queues.,1,They allow more than one active assignment rule.,0,Create a complex business logic assignment rules.,1,Predefined Case Team is mandatory for each entry rule.,0,They allow more than one rule entry per rule.,1,,0
Identify the field update limitations. (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,"The results of a field update can't trigger additional rules such as validation, assignment, auto-response, or escalation rules.",1,Read-only fields like formula or auto-number fields aren't available for field updates.,1,Field updates that are executed as approval actions don't trigger workflow rules.,1,"In a batch update, workflow is re-triggered on all entities where there is a change.",0,,0,,0
An organization wants to create a field to store manager data on the user object. The manager field is a reference to another user record.What type of relationship should be used?,Multiple Choice,No,Yes,No,Yes,2,1,1,Master-Detail,0,Lookup,0,Many-to-many,0,Hierarchical,1,,0,,0
