Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
Universal Containers has two types of customer support processes: Platinum and Diamond. The app builder created separate record types for each process on the Case object. The customer support team should not be able to create new cases with the Diamond record type.How should this requirement be met?,Multiple Choice,No,Yes,No,Yes,2,1,1,Update the profile to remove the Diamond record type from the support team.,1,Remove the ability for the support team to create new case records.,0,Make the record type hidden to all users and then use sharing rules to share it.,0,Update the organization-wide defaults to private.,0,,0,,0
"Universal Containers sells to three different types of organizations: Partner, Enterprise, and Small Business. Some of the information collected about each organization overlaps; however, there are also unique attributes to each type of organization that need to be tracked, some of which are required.What solution meets these requirements?",Multiple Choice,No,Yes,No,Yes,2,1,1,"Three different sections on an Account page layout, which each section displaying the relevant fields for that organization.",0,"A Partner Community for partner organization records, and two lead record types for Enterprise and Small Business organizations.",0,"Three Account record types, each with its own page layout to display the relevant fields for that type of organization.",1,"Three custom objects for the three organization types, each with custom fields that pertain to that type of organization.",0,,0,,0
The marketing team at Universal Containers has a list of 400 leads it wants to upload to Salesforce. The team needs to avoid creating duplicate records.Which two actions should be taken to meet this requirement? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Utilize a Lead Matching Rule and corresponding Duplicate Rule to block newly created duplicate leads.,1,Use Data Loader's update function to import leads and match to existing records based on e-mail address.,0,Enable Duplicate Matching in the Data Management section in Setup and activate the Lead-to-Lead scenario.,0,Upload the lead list using the Import Wizard and select a Matching Type to prevent duplicate lead creation.,1,,0,,0
Which two will prevent a formula field from being referenced by a Roll-Up Summary field? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,A cross-object workflow updating a field referenced by the formula field.,0,The CASE() function in the formula field.,0,The NOW() function in the formula field,1,A cross-object field reference in the formula field.,1,,0,,0
"Universal Containers is rolling out a new opportunity review process. Regional managers will need to edit opportunities for their subordinates, but not for other groups. Managers and users should be able to view all opportunities.Which two approaches are recommended to meet their requirement? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,Set organization-wide defaults to public read/only.,1,Create standard role hierarchies,0,Set organization-wide defaults to public read/write.,0,Create criteria based sharing rules.,1,,0,,0
Which two relationship types can be defined with external objects? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Cross-Organization Lookup,0,External Lookup,1,Indirect Lookup,1,External Master-Detail,0,,0,,0
Which two are capabilities of Schema Builder? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Viewing page layouts in a new window.,1,Editing custom settings.,0,Showing selected objects on a page.,1,Creating a new record type.,0,,0,,0
Which two features can extend record access beyond the organization-wide defaults? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Criteria-based sharing rules.,1,Owner-based sharing rules.,1,Public or private groups.,0,Dynamic role hierarchy.,0,,0,,0
Universal Containers needs to send an Outbound Message to an external system when a record has been updated.What is the recommended feature to meet this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Lightning Connect,0,Workflow,1,Process Builder,0,Flow Launcher,0,,0,,0
Universal Containers wants to display a message when an opportunity close date is less than 60 days in the future.What can be used to display different text on the opportunity record depending on the number of days until the target close date?,Multiple Choice,No,Yes,No,Yes,2,1,1,Workflow Update,0,Process Builder,0,Sales Process,0,Formula Field,1,,0,,0
"Which three are true about converting a tabular, summary, or matrix report to a joined report? (Choose three.)",Multiple Choice,No,Yes,No,Yes,2,3,3,Cross filters are not supported in joined reports.,1,The Rows to Display filter is not supported in joined reports.,1,Joined report blocks are formatted as matrix reports.,0,Report formula fields are not supported in joined reports.,0,Bucket fields are not supported in joined reports.,1,,0
"Universal Containers has deployed custom tabs to Production via change sets, without including the profile settings or permission sets.What is the setting for the visibility of custom tabs?",Multiple Choice,No,Yes,No,Yes,2,1,1,Custom tabs are hidden for all users.,1,Custom tabs are default off for all users.,0,Custom tabs are default on for all users.,0,Custom tabs are not deployed.,0,,0,,0
"Representatives at Universal Containers uses Salesforce to record information for new Leads. When new prospects are added, an outbound message is sent toSAP with the Lead's information.What automation process will accomplish this without writing any code? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Design an Approval Process that sends an outbound message upon approval.,0,Create a process using Process Builder to send the outbound message.,0,Use Flow to create a wizard that will send an outbound message.,1,Create a Workflow Rule with an outbound message as the action.,0,,0,,0
Users at Universal Containers need to be able to quickly create a Resource record from the Project record's Chatter feed.How should the app builder define this functionality? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,"By creating a custom ""Detail Page"" Button on the Project.",0,"By creating a custom ""Detail Page"" Button on the Resource.",0,"By creating a custom ""Create a Record"" Action on the Project.",1,"By creating a custom ""Create a Record"" Action on the Resource.",0,,0,,0
