Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
DreamHouse Realty wants to track how many lifts are being installed into customer garages. The To Be Installed custom checkbox field on the custom Lift object should be checked and an external system should be notified via an outbound message the next day when a lift is sold.What automation tool should be used to complete this task?,Multiple Choice,No,Yes,No,Yes,2,1,1,Workflow,0,Approval process,0,Flow,1,Process Builder,0,,0,,0
Universal Containers assigns system access via permission sets and permission set groups to ensure each user has proper access. One department with varying levels of support stuff has five consistent permission sets they require in order to complete their duties. Some higher-level staff have additional permission sets that are only required for them.How should an app builder recommend assigning permission sets to users? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Utilize the Data Loader to mass update the desired users with their full list of permission sets and permission set groups.,0,Utilize the manage assignments button to assign a permission set group and additional individual permission sets to each user.,1,Utilize the Data Import Wizard to mass update the desired users with their full list of permission sets and permission set groups.,0,Utilize the manage assignments button to assign each user with the same set of permission set groups and permission sets.,0,,0,,0
Universal Containers has Public Read/Write as the Account organization-wide default (OWD) setting. Visitors to the customer community site report that they can see all of the company's account records.How should an app builder configure Account sharing so that community users only see their own Account? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Set the account external OWD to private.,1,Define an owner-based sharing rule for external account.,0,Define a permission set for external accounts.,0,Create an account record type for external accounts.,0,,0,,0
Universal Containers has a custom picklist called Support Level on the Account object. They would like to show the real-time value of Support Level on all case records.How should an app builder implement this requirement? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Create a formula field on the Case object using the TEXT function.,1,Create a roll-up summary field using Support Level on the Account object.,0,Create a formula field on the Account object using the ISPICKVAL function.,0,Create a Process Builder and use a field update on the Case object.,0,,0,,0
"To increase adoption, Universal Containers is proposing changes to its Salesforce data model to allow easier visibility for sales reps into key metrics. The proposal has three custom objects related to the Account object, one with a master-detail, and two that are not. Each of these objects has 15 fields they would like to summarize on the Account object.What are two considerations for this proposal? (Choose two.)",Multiple Choice,No,Yes,No,Yes,2,2,2,An object can have 20 object references.,0,An object can have 25 roll-up summaries.,1,"Roll-up summaries allow MAX, MIN, SUM, COUNT, and AVG.",0,Roll-up summaries are limited to master-detail relationship.,1,,0,,0
"Universal Containers (UC) wants to delete data in several fields for 5,000 Lead records. UC exported the selected Record IDs and fields that need to have data deleted in a CSV file.Which two steps should an app builder suggest to meet these requirements? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,Select the correct record type.,0,Use Import Wizard to update leads using the CSV file.,0,Select Insert Null Values in Settings.,1,Use Data Loader to update leads using the CSV file.,1,,0,,0
An app builder needs to deploy a new account detail page layout from sandbox to production.Which three components should an app builder include in the Change Set to ensure it deploys successfully and visually as expected? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Detail page layout,1,System administrator profile,0,Lightning App Builder,0,Custom fields,1,Custom actions,1,,0
"Due to the complexity of the Universal Containers sandbox release schedule and requirements, it is advised that change sets are used as often as possible to migrate from one environment to another.Which three common items can an app builder move when using a change set? (Choose three.)",Multiple Choice,No,Yes,No,Yes,2,3,3,Web-to-lead,0,Standard fields,0,Custom object,1,Apex class,1,Custom field,1,,0
Cloud Kicks wants to make sure that users without the Marketing role are unable to update the Contact Retail Opt In picklist field to Yes.What validation rule would an app builder use to prevent other users from making this update? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,"AND( $UserRole.Name != 'Marketing', Retail_Opt_In__c = ג€Yesג€ )",0,"AND( $UserRole.Name = 'Marketing', Retail_Opt_In__c = ג€Yesג€ )",0,"AND( $UserRole.Name = 'Marketing', ISPICKVAL(Retail_Opt_In__c = ג€Yesג€ ) )",0,"AND( $UserRole.Name = 'Marketing', ISCHANGED(Retail_Opt_In__c), ISPICKVAL(Retail_Opt_In__c = ג€Yesג€ ) )",1,,0,,0
Which two places can an app builder go to see a list of available Custom Lightning components in their org? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Visualforce components in Setup,0,Lightning App Builder,1,Lightning components in Setup,1,Lightning component Generator,0,,0,,0
